REPORTED GENE(S)	CHR_ID	CHR_POS	SNPS	P-VALUE	PUBMEDID	INITIAL SAMPLE SIZE
RAPGEF6	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ACSL6	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
P4HA2	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PDLIM4	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC22A5	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CTC-432M15.3	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FNIP1	5	132435113	rs2188962	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C5orf66	5	135107916	rs254560	3.00E-08	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC6A7	5	150226431	rs17656349	2.00E-08	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CAMK2A	5	150226431	rs17656349	2.00E-08	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL12B	5	159399784	rs6871626	1.00E-21	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
UBLCP1	5	159400761	rs56167332	1.00E-23	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IL12B	5	159400761	rs56167332	1.00E-23	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C5orf4	5	172897975	rs564349	2.00E-06	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
DUSP1	5	172897975	rs564349	2.00E-06	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
RGS14	5	177361569	rs4976646	4.00E-08	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC34A1	5	177361569	rs4976646	4.00E-08	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
Intergenic	6	14719265	rs17119	7.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HCG9	6	29966386	rs6935053	2.00E-06	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
HLA	6	30163346	rs17188113	9.00E-07	29562276	466 European ancestry cases, 2,099 European ancestry controls
IER3	6	30831622	rs9501030	4.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
GTF2H4	6	30831622	rs9501030	4.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
FLOT1	6	30831622	rs9501030	4.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
VARS2	6	30831622	rs9501030	4.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
MIR588	6	30831622	rs9501030	4.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
DDR1	6	30831622	rs9501030	4.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
HLA	6	31143579	rs9263739	4.00E-67	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
3.8-1	6	31481085	rs3749946	2.00E-15	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
HCG26	6	31481085	rs3749946	2.00E-15	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
CFB	6	31949763	rs4151657	5.00E-14	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
BAT2	6	31949763	rs4151657	5.00E-14	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
MSH5	6	31949763	rs4151657	5.00E-14	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
HSPA1L	6	31949763	rs4151657	5.00E-14	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
SLC44A4	6	31949763	rs4151657	5.00E-14	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
MHC	6	32111790	rs17207986	1.00E-16	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
NOTCH4	6	32237268	rs549182	8.00E-10	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
BTNL2	6	32396067	rs9268480	3.00E-06	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
HLA-DRA	6	32444069	rs2239802	2.00E-07	28008999	269 Polish ancestry child cases, 259 Polish ancestry adult cases, 582 Polish ancestry controls
MHC	6	32461866	rs9268853	3.00E-06	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
HLA-DRA	6	32461866	rs9268853	1.00E-55	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
HLA-DRB5	6	32461866	rs9268853	1.00E-55	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
BTNL2	6	32461866	rs9268853	1.00E-55	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
HLA-DRB1	6	32461866	rs9268853	1.00E-55	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
HLA-DQA1	6	32461866	rs9268853	1.00E-55	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
HLA-DRA	6	32463370	rs9268877	6.00E-18	18836448	1,167 European ancestry cases, 777 European ancestry controls
BTNL2	6	32463370	rs9268877	6.00E-18	18836448	1,167 European ancestry cases, 777 European ancestry controls
MHC	6	32463370	rs9268877	4.00E-23	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
HLA-DRA	6	32465058	rs9268923	4.00E-15	20228798	1,043 European ancestry cases, 1,703 European ancestry controls
HLA-DQB1	6	32465390	rs2395185	1.00E-16	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
HLA-DRA	6	32465390	rs2395185	1.00E-16	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
BTNL2	6	32465390	rs2395185	1.00E-16	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
HLA-DRB5	6	32465390	rs2395185	1.00E-16	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
HLA-DRB1	6	32465390	rs2395185	1.00E-16	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
HLA-DQA1	6	32465390	rs2395185	1.00E-16	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
C6orf10	6	32465390	rs2395185	9.00E-23	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
BTNL2	6	32465390	rs2395185	9.00E-23	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
HLA	6	32465390	rs2395185	9.00E-23	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
HLA-DRB1	6	32619077	rs9271366	1.00E-18	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
HLA-DQA1	6	32619077	rs9271366	1.00E-18	23511034	388 Korean ancestry cases, 739 Korean ancestry controls
HLA-DQA1	6	32619077	rs9271366	7.00E-06	26278503	361 African American cases, 1,797 African American controls
HLA-DQA1	6	32638107	rs2187668	4.00E-06	28008999	269 Polish ancestry child cases, 259 Polish ancestry adult cases, 582 Polish ancestry controls
C6orf15	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CDSN	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PSORS1C2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HCG27	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-C	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MCCD1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ATP6V1G2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LTA	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TNF	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LTB	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NCR3	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AIF1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
BAG6	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C6orf47	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GPANK1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LY6G5B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LY6G5C	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LY6G6F	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MEGT1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LY6G6E	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LY6G6D	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DDAH2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SAPCD1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HSPA1L	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HSPA1B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C6orf48	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NEU1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ZBTB12	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NELFE	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DXO	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AL645922.1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CYP21A2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FKBPL	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PRRT1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
EGFL8	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
RNF5	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AGER	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PBX2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DRA	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DQB1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DQA2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DQB2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PSORS1C1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CCHCR1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TCF19	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
POU5F1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MICA	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MICB	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DDX39B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ATP6V1G2-DDX39B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NFKBIL1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LST1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PRRC2A	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
APOM	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CSNK2B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CSNK2B-LY6G5B-1181	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ABHD16A	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
XXbac-BPG32J3.20	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C6orf25	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LY6G6C	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CLIC1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
VWA7	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
VARS	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LSM2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HSPA1A	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC44A4	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
CFB	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SKIV2L	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
STK19	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C4A	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C4B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TNXB	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
ATF6B	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PPT2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
PPT2-EGFL8	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AGPAT1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GPSM3	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
NOTCH4	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
C6orf10	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DRB5	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DRB1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DQA1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MSH5	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
MSH5-SAPCD1	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
EHMT2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
BTNL2	6	32644620	rs6927022	5.00E-65	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
HLA-DQB1	6	32644620	rs6927022	5.00E-133	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
HLA-DRA	6	32644620	rs6927022	5.00E-133	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
HLA-DRB1	6	32644620	rs6927022	5.00E-133	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
HLA-DQA1	6	32644620	rs6927022	5.00E-133	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
HLA-DQB1	6	32659937	rs1063355	2.00E-06	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
HLA-DRA	6	32659937	rs1063355	2.00E-06	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
HLA-DQA1	6	32659937	rs1063355	2.00E-06	24837172	603 North Indian ancestry cases, 622 North Indian ancestry controls
BRD2	6	32981027	rs1049526	2.00E-08	28008999	269 Polish ancestry child cases, 259 Polish ancestry adult cases, 582 Polish ancestry controls
BRD2	6	32981027	rs1049526	3.00E-07	28008999	269 Polish ancestry child cases, 259 Polish ancestry adult cases, 582 Polish ancestry controls
PDRM1	6	106074152	rs6911490	1.00E-08	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
KIAA1919	6	111526988	rs3851228	6.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TRAF3IP2	6	111526988	rs3851228	6.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SLC16A10	6	111526988	rs3851228	6.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
REV3L	6	111526988	rs3851228	6.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FYN	6	111526988	rs3851228	6.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FAM26F	6	116447754	rs2858829	9.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
TRAPPC3L	6	116447754	rs2858829	9.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
FAM26F	6	116447754	rs2858829	8.00E-10	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
Intergenic	6	137685367	rs6920220	3.00E-15	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AMZ1	7	2750246	rs798502	4.00E-11	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GNA12	7	2750246	rs798502	4.00E-11	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GNA12	7	2750246	rs798502	6.00E-17	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
CARD11	7	2750246	rs798502	6.00E-17	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
TTYH3	7	2750246	rs798502	6.00E-17	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
GNA12	7	2750246	rs798502	3.00E-15	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
FLJ20306	7	6505557	rs11768365	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DAGLB	7	6505557	rs11768365	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
KDELR2	7	6505557	rs11768365	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
GRID2IP	7	6505557	rs11768365	2.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
Intergenic	7	17403055	rs1077773	6.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
AHR	7	17403055	rs1077773	6.00E-09	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
HDAC9	7	18760790	rs11764116	2.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
CACNA2D1	7	82228577	rs929351	8.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
KPNA7	7	99161494	rs9297145	7.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SMURF1	7	99161494	rs9297145	7.00E-07	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
SMURF1	7	99162881	rs7809799	9.00E-11	20228798	1,043 European ancestry cases, 1,703 European ancestry controls
KPNA7	7	99162881	rs7809799	9.00E-11	20228798	1,043 European ancestry cases, 1,703 European ancestry controls
SLC26A3	7	107812658	rs2108225	1.00E-07	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
SLC26A3	7	107839870	rs4380874	9.00E-21	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DLD	7	107839870	rs4380874	9.00E-21	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LAMB1	7	107839870	rs4380874	9.00E-21	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DLD	7	107839870	rs4380874	2.00E-26	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
DLD	7	107843992	rs4730276	9.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
SLC26A3	7	107843992	rs4730276	9.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
LAMB1	7	107843992	rs4730276	9.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
LAMB1	7	107854989	rs886774	3.00E-08	19915572	2,361 European ancestry cases, 5,417 European ancestry controls
DLD	7	107862996	rs4598195	1.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
SLC26A3	7	107862996	rs4598195	1.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
LAMB1	7	107862996	rs4598195	1.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
LAMB1	7	107862996	rs4598195	8.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
DLD	7	107862996	rs4598195	8.00E-08	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
DLD	7	107940394	rs2158836	7.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
SLC26A3	7	107940394	rs2158836	7.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
LAMB1	7	107940394	rs2158836	7.00E-06	19122664	1,022 European ancestry cases, 2,503 European ancestry controls
WNT2	7	117252792	rs38904	6.00E-06	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IRF5	7	128933913	rs4728142	3.00E-10	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
IRF5	7	128933913	rs4728142	3.00E-08	26398853	705 Korean ancestry cases, 1,178 Korean ancestry controls
TSPAN33	7	128933913	rs4728142	4.00E-14	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
TNPO3	7	128933913	rs4728142	4.00E-14	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
IRF5	7	128933913	rs4728142	4.00E-14	23128233	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls
TNPO3	7	128933913	rs4728142	2.00E-08	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
IRF5	7	128933913	rs4728142	2.00E-08	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
CNTNAP2	7	148523356	rs2538470	3.00E-07	26192919	6,968 European ancestry cases, 20,464 European ancestry controls
ACTR3B	7	153048725	rs4725479	5.00E-07	25082827	up to 7,483 European ancestry cases, up to 21,211 European ancestry controls
Intergenic	9	4981601	rs75900472	1.00E-19	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
JAK2	9	4981602	rs10758669	1.00E-06	20228799	2,693 European ancestry cases, 6,791 European ancestry controls
JAK2	9	4981602	rs10758669	2.00E-25	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
INSL6	9	5213687	rs10975003	1.00E-06	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
INSL4	9	5213687	rs10975003	1.00E-06	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
JAK2	9	5213687	rs10975003	1.00E-06	19915573	376 Japanese ancestry cases, 934 Japanese ancestry controls
JAK2	9	5260079	rs1830610	2.00E-09	26398853	705 Korean ancestry cases, 1,178 Korean ancestry controls
TNFSF8	9	114790969	rs4246905	6.00E-12	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
TNFSF15	9	114790969	rs4246905	6.00E-12	21297633	6,687 European ancestry cases, 19,718 European ancestry controls
TNFSF15	9	114842790	rs11554257	1.00E-06	20848476	324 European ancestry medically refractory ulcerative colitis cases, 537 European ancestry non-medically refractory ulcerative colitis cases, 2,601 European ancestry controls
C9orf69	9	136371953	rs10781499	2.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
LHX3	9	136371953	rs10781499	2.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DKFZP434A062	9	136371953	rs10781499	2.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
DNLZ	9	136371953	rs10781499	2.00E-16	28067908	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls
